"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,24,19,2,3,60,57,14,43,100,87.9,0
"Liverpool",2,2,0,22,14,2,6,48,58,19,39,99.5,11.3,0
"Chelsea",3,3,0,24,13,3,8,47,48,18,30,93.8,0.8,0
"West Ham",4,5,1,24,12,8,4,40,42,31,11,14.2,0,0
"Manchester Utd",5,4,-1,23,11,6,6,39,37,31,6,23.6,0,0
"Arsenal",6,6,0,21,11,7,3,36,33,25,8,32,0,0
"Tottenham",7,7,0,21,11,7,3,36,28,27,1,24.9,0,0
"Wolves",8,8,0,21,10,7,4,34,19,16,3,8.2,0,0.1
"Brighton",9,9,0,22,6,4,12,30,23,23,0,2,0,0.2
"Southampton",10,12,2,23,6,7,10,28,29,36,-7,0.1,0,1
"Aston Villa",11,11,0,22,8,11,3,27,31,35,-4,0.1,0,0.6
"Leicester City",12,10,-2,20,7,8,5,26,34,37,-3,1.6,0,0.5
"Crystal Palace",13,13,0,23,5,8,10,25,32,35,-3,0,0,3.2
"Brentford",14,14,0,24,6,13,5,23,26,40,-14,0,0,13.8
"Leeds United",15,15,0,22,5,9,8,23,27,43,-16,0,0,7.6
"Everton",16,16,0,21,5,12,4,19,25,38,-13,0,0,23.2
"Newcastle Utd",17,19,2,22,3,10,9,18,24,44,-20,0,0,49.1
"Norwich City",18,17,-1,23,4,14,5,17,14,46,-32,0,0,78.4
"Watford",19,18,-1,22,4,15,3,15,23,41,-18,0,0,75.4
"Burnley",20,20,0,20,1,8,11,14,17,28,-11,0,0,46.9
