"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,26,20,3,3,63,63,17,46,100,69.3,0
"Liverpool",2,2,0,26,18,2,6,60,70,20,50,100,29.7,0
"Chelsea",3,3,0,25,14,3,8,50,49,18,31,94.8,0.9,0
"Manchester Utd",4,4,0,26,13,6,7,46,44,34,10,26.3,0,0
"Arsenal",5,5,0,24,14,7,3,45,38,27,11,58.1,0.1,0
"West Ham",6,6,0,26,12,8,6,42,45,34,11,4.9,0,0
"Wolves",7,7,0,25,12,9,4,40,24,20,4,3.1,0,0
"Tottenham",8,8,0,24,12,9,3,39,31,32,-1,11.9,0,0
"Brighton",9,9,0,25,7,6,12,33,25,28,-3,0.4,0,0
"Southampton",10,11,1,25,7,7,11,32,32,37,-5,0.2,0,0.2
"Crystal Palace",11,10,-1,26,6,9,11,29,36,37,-1,0,0,1.4
"Leicester City",12,12,0,23,7,10,6,27,37,43,-6,0.3,0,1.1
"Aston Villa",13,13,0,24,8,13,3,27,31,37,-6,0,0,2.3
"Brentford",14,14,0,26,6,14,6,24,27,42,-15,0,0,18.8
"Leeds United",15,15,0,25,5,12,8,23,29,56,-27,0,0,27.3
"Everton",16,16,0,23,6,13,4,22,28,40,-12,0,0,18.5
"Newcastle Utd",17,17,0,24,4,10,10,22,26,45,-19,0,0,33.6
"Burnley",18,18,0,23,3,9,11,20,21,29,-8,0,0,23.9
"Watford",19,20,1,25,5,17,3,18,25,47,-22,0,0,82.5
"Norwich City",20,19,-1,25,4,16,5,17,15,53,-38,0,0,90.4
