"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.8","2.9","0.2"
"Liverpool","Liverpool","92.8","3.0","0.3"
"Chelsea","Chelsea","89.4","2.5","0.3"
"Arsenal","Arsenal","81.5","2.2","0.5"
"Man. United","Manchester Utd","78.4","2.2","0.7"
"Tottenham","Tottenham","79.9","2.3","0.7"
"West Ham","West Ham","74.5","2.0","0.7"
"Wolves","Wolves","72.9","1.7","0.6"
"Aston Villa","Aston Villa","76.6","2.0","0.6"
"Leicester","Leicester City","70.5","2.1","1.0"
"Southampton","Southampton","69.9","1.9","0.9"
"Crystal Palace","Crystal Palace","72.8","1.9","0.7"
"Brighton","Brighton","74.6","1.9","0.6"
"Newcastle","Newcastle Utd","66.1","1.8","0.9"
"Brentford","Brentford","67.1","1.8","0.9"
"Everton","Everton","64.2","1.8","1.0"
"Burnley","Burnley","64.4","1.6","0.8"
"Leeds United","Leeds United","62.0","1.8","1.1"
"Watford","Watford","58.4","1.6","1.1"
"Norwich","Norwich City","53.3","1.5","1.2"
